ticker,shares,averageCost,currentPrice,purchaseDate,sector
AAPL,100,150.00,185.50,2023-01-15,Technology
MSFT,50,300.00,415.25,2023-03-20,Technology
JNJ,75,160.00,155.80,2022-06-10,Healthcare
PG,60,140.00,161.40,2023-02-28,Consumer Staples
XOM,40,110.00,115.60,2022-12-05,Energy
KO,100,60.00,61.20,2023-04-12,Consumer Staples
WMT,45,140.00,164.75,2023-05-18,Consumer Staples
MCD,30,280.00,291.30,2023-07-22,Consumer Discretionary
AMZN,25,140.00,178.90,2023-08-14,Technology
GOOGL,15,120.00,141.60,2023-09-01,Technology
